zipcode,availability
69517,Yes
69514,Yes
69989,No
69988,No
69987,No
69986,No
69985,No
69984,No
69983,No
69982,No
69981,No
69980,No
69979,No
69978,No
69977,No
69976,No
69975,No
69974,No
69973,No
69972,No
69971,No
69970,No
69969,No
69968,No
69967,No
69966,No
69965,No
69964,No
69963,No
69962,No
69961,No
69960,No
69959,No
69958,No
69957,No
69956,No
69955,No
69954,No
69953,No
69952,No
69951,No
69950,No
69949,No
69948,No
69947,No
69946,No
69945,No
69944,No
69943,No
69942,No
69941,No
69940,No
69939,No
69938,No
69937,No
69936,No
69935,No
69934,No
69933,No
69932,No
69931,No
69930,No
69929,No
69928,No
69927,No
69926,No
69925,No
69924,No
69923,No
69922,No
69921,No
69920,No
69919,No
69918,No
69917,No
69916,No
69915,No
69914,No
69913,No
69912,No
69911,No
69910,No
69909,No
69908,No
69907,No
69906,No
69905,No
69904,No
69903,No
69902,No
69901,No
69900,No
69899,No
69898,No
69897,No
69896,No
69895,No
69894,No
69893,No
69892,No
69891,No
69890,No
69889,No
69888,No
69887,No
69886,No
69885,No
69884,No
69883,No
69882,No
69881,No
69880,No
69879,No
69878,No
69877,No
69876,No
69875,No
69874,No
69873,No
69872,No
69871,No
69870,No
69869,No
69868,No
69867,No
69866,No
69865,No
69864,No
69863,No
69862,No
69861,No
69860,No
69859,No
69858,No
69857,No
69856,No
69855,No
69854,No
69853,No
69852,No
69851,No
69850,No
69849,No
69848,No
69847,No
69846,No
69845,No
69844,No
69843,No
69842,No
69841,No
69840,No
69839,No
69838,No
69837,No
69836,No
69835,No
69834,No
69833,No
69832,No
69831,No
69830,No
69829,No
69828,No
69827,No
69826,No
69825,No
69824,No
69823,No
69822,No
69821,No
69820,No
69819,No
69818,No
69817,No
69816,No
69815,No
69814,No
69813,No
69812,No
69811,No
69810,No
69809,No
69808,No
69807,No
69806,No
69805,No
69804,No
69803,No
69802,No
69801,No
69800,No
69799,No
69798,No
69797,No
69796,No
69795,No
69794,No
69793,No
69792,No
69791,No
69790,No
69789,No
69788,No
69787,No
69786,No
69785,No
69784,No
69783,No
69782,No
69781,No
69780,No
69779,No
69778,No
69777,No
69776,No
69775,No
69774,No
69773,No
69772,No
69771,No
69770,No
69769,No
69768,No
69767,No
69766,No
69765,No
69764,No
69763,No
69762,No
69761,No
69760,No
69759,No
69758,No
69757,No
69756,No
69755,No
69754,No
69753,No
69752,No
69751,No
69750,No
69749,No
69748,No
69747,No
69746,No
69745,No
69744,No
69743,No
69742,No
69741,No
69740,No
69739,No
69738,No
69737,No
69736,No
69735,No
69734,No
69733,No
69732,No
69731,No
69730,No
69729,No
69728,No
69727,No
69726,No
69725,No
69724,No
69723,No
69722,No
69721,No
69720,No
69719,No
69718,No
69717,No
69716,No
69715,No
69714,No
69713,No
69712,No
69711,No
69710,No
69709,No
69708,No
69707,No
69706,No
69705,No
69704,No
69703,No
69702,No
69701,No
69700,No
69699,No
69698,No
69697,No
69696,No
69695,No
69694,No
69693,No
69692,No
69691,No
69690,No
69689,No
69688,No
69687,No
69686,No
69685,No
69684,No
69683,No
69682,No
69681,No
69680,No
69679,No
69678,No
69677,No
69676,No
69675,No
69674,No
69673,No
69672,No
69671,No
69670,No
69669,No
69668,No
69667,No
69666,No
69665,No
69664,No
69663,No
69662,No
69661,No
69660,No
69659,No
69658,No
69657,No
69656,No
69655,No
69654,No
69653,No
69652,No
69651,No
69650,No
69649,No
69648,No
69647,No
69646,No
69645,No
69644,No
69643,No
69642,No
69641,No
69640,No
69639,No
69638,No
69637,No
69636,No
69635,No
69634,No
69633,No
69632,No
69631,No
69630,No
69629,No
69628,No
69627,No
69626,No
69625,No
69624,No
69623,No
69622,No
69621,No
69620,No
69619,No
69618,No
69617,No
69616,No
69615,No
69614,No
69613,No
69612,No
69611,No
69610,No
69609,No
69608,No
69607,No
69606,No
69605,No
69604,No
69603,No
69602,No
69601,No
69600,No
69599,No
69598,No
69597,No
69596,No
69595,No
69594,No
69593,No
69592,No
69591,No
69590,No
69589,No
69588,No
69587,No
69586,No
69585,No
69584,No
69583,No
69582,No
69581,No
69580,No
69579,No
69578,No
69577,No
69576,No
69575,No
69574,No
69573,No
69572,No
69571,No
69570,No
69569,No
69568,No
69567,No
69566,No
69565,No
69564,No
69563,No
69562,No
69561,No
69560,No
69559,No
69558,No
69557,No
69556,No
69555,No
69554,No
69553,No
69552,No
69551,No
69550,No
69549,No
69548,No
69547,No
69546,No
69545,No
69544,No
69543,No
69542,No
69541,No
69540,No
69539,No
69538,No
69537,No
69536,No
69535,No
69534,No
69533,No
69532,No
69531,No
69530,No
69529,No
69528,No
69527,No
69526,No
